KEGG,smiles,n_electrons,n_carbons,smiles_ph0,charge_ph0,energy_Ha,energy_solv_Ha
C00962,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,72,6,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,-34.6441925874,-34.6441925874
C00230,O=C(O)c1ccc(O)c(O)c1,58,7,OC(=O)c1ccc(O)c(O)c1,0,-27.5119939491,-27.5119939491
C05825,CC(=O)CCC(N)C(=O)O,58,6,CC(=O)CCC([NH3+])C(O)=O,1,-26.8825330839,-26.8825330839
C01035,N=C(N)NCCCC(=O)O,58,5,NC(=[NH2+])NCCCC(O)=O,1,-26.71778808,-26.71778808
C02779,O=C1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,70,6,OC[C@H]1O[C@@H](O)C(=O)[C@@H](O)[C@@H]1O,0,-33.8817141038,-33.8817141038
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,-37.9894564324,-37.9894564324
C00606,N[C@@H](CS(=O)O)C(=O)O,54,3,[NH3+][C@@H](CS(O)=O)C(O)=O,1,-25.9178168518,-25.9178168518
C11036,Brc1ccccc1,36,6,Brc1ccccc1,0,-15.1484196991,-15.1484196991
C05572,NC(=O)C(=O)CCC(=O)O,56,5,NC(=O)C(=O)CCC(O)=O,0,-26.8726167017,-26.8726167017
C06763,OC[C@H]1NC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,OC[C@H]1[NH2+]C(O)[C@H](O)[C@@H](O)[C@@H]1O,1,-34.2422931738,-34.2422931738
C05375,O=C(O)C1=CC(O)OC(C(=O)O)=C1,70,7,OC1OC(=CC(=C1)C(O)=O)C(O)=O,0,-34.109020612,-34.109020612
C03277,O=C(O)C(=O)Cc1cnc[nH]1,58,6,OC(=O)C(=O)Cc1c[nH+]c[nH]1,1,-27.3958669394,-27.3958669394
C06814,O=C[C@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O,84,5,O[C@H](COP(O)(O)=O)[C@H](O)[C@@H](O)C=O,0,-40.9259725167,-40.9259725167
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,OCC1(O)OC[C@H](O)[C@H]1O,0,-28.8800305597,-28.8800305597
C00503,OC[C@H](O)[C@H](O)CO,50,4,OC[C@H](O)[C@H](O)CO,0,-23.861451072,-23.861451072
C01020,O=C(O)c1ccc(O)nc1,52,6,OC(=O)c1ccc([O-])[nH+]c1,0,-24.5077946207,-24.5077946207
C02502,Oc1ccccn1,36,5,[O-]c1cccc[nH+]1,0,-16.1474993748,-16.1474993748
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,-46.5551496182,-46.5551496182
C07327,O=Cc1cccnc1,40,6,O=Cc1ccc[nH+]c1,1,-17.9586136393,-17.9586136393
C10974,CNCCCC=O,42,5,C[NH2+]CCCC=O,1,-18.5246768331,-18.5246768331
C00793,N[C@H](CS)C(=O)O,42,3,[NH3+][C@H](CS)C(O)=O,1,-19.3280979405,-19.3280979405
C05827,Cn1cnc(CC=O)c1,48,6,Cn1c[nH+]c(CC=O)c1,1,-21.5258457434,-21.5258457434
C05161,CC(N)CCC(N)C(=O)O,60,6,CC([NH3+])CCC([NH3+])C(O)=O,2,-27.1187786247,-27.1187786247
C01720,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,72,6,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,0,-34.6786415733,-34.6786415733
C03824,N/C(=C/C=C\C=O)C(=O)O,54,6,[NH3+]\\C(=C\\C=C/C=O)C([O-])=O,0,-25.1717603773,-25.1717603773
C03981,O=C(O)/C=C(\O)C(=O)O,50,4,OC(=O)\\C=C(/O)C(O)=O,0,-24.9320946162,-24.9320946162
C04442,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O,94,6,O[C@H](COP(O)(O)=O)[C@@H](O)CC(=O)C(O)=O,0,-45.9793615383,-45.9793615383
C03064,O=C(O)[C@H](O)C(=O)CO,52,4,OCC(=O)[C@@H](O)C(O)=O,0,-25.667013584,-25.667013584
C02810,O=P(O)(O)OCC(O)C(O)C(O)C(O)CO,98,6,OCC(O)C(O)C(O)C(O)COP(O)(O)=O,0,-47.4756767484,-47.4756767484
C02652,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1,66,7,O[C@@H]1C=C(CC(=O)[C@@H]1O)C(O)=O,0,-31.5521807727,-31.5521807727
C03500,CCOC(=O)CC(C)=O,52,6,CCOC(=O)CC(C)=O,0,-24.0041858178,-24.0041858178
C00719,C[N+](C)(C)CC(=O)[O-],48,5,C[N+](C)(C)CC(O)=O,1,-21.8603361378,-21.8603361378
C00156,O=C(O)c1ccc(O)cc1,52,7,OC(=O)c1ccc(O)cc1,0,-24.2031103894,-24.2031103894
C06730,Cc1ccc(O)c(O)c1,48,7,Cc1ccc(O)c(O)c1,0,-21.6301337493,-21.6301337493
C02669,O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,70,6,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@H]1O,0,-33.9031708881,-33.9031708881
C01825,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,72,6,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,0,-34.6529287023,-34.6529287023
C02486,CC(C)[C@H](N)CC(=O)O,54,6,CC(C)[C@H]([NH3+])CC(O)=O,1,-24.3674862016,-24.3674862016
C03030,O=C(O)c1c[nH]c(=O)[nH]c1=O,58,5,OC(=O)C1=CNC(=O)NC1=O,0,-28.1423405493,-28.1423405493
C02045,O=C(CO)[C@@H](O)CO,48,4,OC[C@H](O)C(=O)CO,0,-23.0864861256,-23.0864861256
C14270,Oc1cccc(Cl)c1,42,6,Oc1cccc(Cl)c1,0,-18.6394221534,-18.6394221534
C14279,O=Cc1ccco1,36,5,O=Cc1ccco1,0,-16.6549240599,-16.6549240599
C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,72,6,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,0,-34.6572278893,-34.6572278893
C01987,Nc1ccccc1O,42,6,[NH3+]c1ccccc1O,1,-18.7304409472,-18.7304409472
C17209,O=C1C[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,64,6,O[C@@H]1CC(=O)[C@@H](O)[C@H](O)[C@H]1O,0,-30.5921066659,-30.5921066659
C06159,C[C@@H](O)[C@H](O)CC(=O)C(=O)O,64,6,C[C@@H](O)[C@H](O)CC(=O)C(O)=O,0,-30.6139698061,-30.6139698061
C00233,CC(C)CC(=O)C(=O)O,52,6,CC(C)CC(=O)C(O)=O,0,-24.006799722,-24.006799722
C06611,OC/C=C/Cl,30,3,OC\\C=C\\Cl,0,-13.4709042279,-13.4709042279
C00164,CC(=O)CC(=O)O,40,4,CC(=O)CC(O)=O,0,-19.0706375438,-19.0706375438
C01018,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,66,6,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,0,-31.3477623318,-31.3477623318
C01089,C[C@@H](O)CC(=O)O,42,4,C[C@@H](O)CC(O)=O,0,-19.8257496117,-19.8257496117
C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0,-34.6533813879,-34.6533813879
C19806,O=C(O)CC(CC(=O)O)C(=O)O,68,6,OC(=O)CC(CC(O)=O)C(O)=O,0,-33.2133831112,-33.2133831112
C00133,C[C@@H](N)C(=O)O,36,3,C[C@@H]([NH3+])C(O)=O,1,-16.9112156816,-16.9112156816
C08262,CC(C)CC(=O)O,42,5,CC(C)CC(O)=O,0,-19.0023662298,-19.0023662298
C03671,O=C(O)c1cc(C(=O)O)oc(=O)c1,68,7,OC(=O)C1=CC(=CC(=O)O1)C(O)=O,0,-33.3712498062,-33.3712498062
C16245,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O,76,6,O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,0,-37.2204911278,-37.2204911278
C07182,NC(CO)(CO)CO,50,4,[NH3+]C(CO)(CO)CO,1,-23.4482231133,-23.4482231133
C01157,O=C(O)[C@@H]1C[C@@H](O)CN1,52,5,O[C@H]1C[NH2+][C@@H](C1)C(O)=O,1,-24.4025999931,-24.4025999931
C01438,C,8,1,C,0,-3.2326519387,-3.2326519387
C01570,CC(C)C[C@@H](N)C(=O)O,54,6,CC(C)C[C@@H]([NH3+])C(O)=O,1,-24.3421858231,-24.3421858231
C12313,O[C@H]1CCCC[C@H]1O,48,6,O[C@H]1CCCC[C@H]1O,0,-21.4477302533,-21.4477302533
C11465,Nc1c(O)cc(O)cc1C(=O)O,64,7,[NH3+]c1c(O)cc(O)cc1C(O)=O,1,-30.4171925116,-30.4171925116
C03771,N=C(N)NCCCC(=O)C(=O)O,68,6,NC(=[NH2+])NCCCC(=O)C(O)=O,1,-31.7193998958,-31.7193998958
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,-34.6557530387,-34.6557530387
C03894,CC(O)COP(=O)(O)O,56,3,CC(O)COP(O)(O)=O,0,-26.8409079366,-26.8409079366
C14841,Oc1ccccc1Br,42,6,Oc1ccccc1Br,0,-18.4688689225,-18.4688689225
C16835,O=CCCC=O,34,4,O=CCCC=O,0,-15.717469524,-15.717469524
C06006,CC[C@](O)(C(C)=O)C(=O)O,58,6,CC[C@](O)(C(C)=O)C(O)=O,0,-27.3168538047,-27.3168538047
C06153,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0,-34.6664956923,-34.6664956923
C06369,O=P(O)(O)OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O,90,6,OC1C[C@@H](O)[C@H](O)[C@@H](COP(O)(O)=O)O1,0,-43.4065669195,-43.4065669195
C07102,Oc1cc(O)c(Cl)cc1O,54,6,Oc1cc(O)c(Cl)cc1O,0,-25.2623886012,-25.2623886012
C00764,OCC1(O)OC[C@@H](O)[C@H](O)[C@H]1O,72,6,OCC1(O)OC[C@@H](O)[C@H](O)[C@H]1O,0,-34.6530021375,-34.6530021375
C03433,N[C@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](O)[C@@H]1OP(=O)(O)O,96,6,[NH3+][C@@H]1[C@@H](O)[C@H]([NH3+])[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O,2,-45.7530602909,-45.7530602909
C00097,N[C@@H](CS)C(=O)O,42,3,[NH3+][C@@H](CS)C(O)=O,1,-19.3281003253,-19.3281003253
C00966,CC(C)(CO)C(=O)C(=O)O,58,6,CC(C)(CO)C(=O)C(O)=O,0,-27.3043968556,-27.3043968556
C00207,CC(C)=O,24,3,CC(C)=O,0,-10.7218932924,-10.7218932924
C00259,OC1OC[C@H](O)[C@H](O)[C@H]1O,60,5,O[C@H]1COC(O)[C@H](O)[C@H]1O,0,-28.8751544194,-28.8751544194
C00794,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,-35.416065335,-35.416065335
C03066,N[C@H](C(=O)O)C(O)CC(=O)O,64,5,[NH3+][C@@H](C(O)CC(O)=O)C(O)=O,1,-31.0596130483,-31.0596130483
C16590,O=CCCCCCC(=O)O,58,7,OC(=O)CCCCCC=O,0,-26.4731679786,-26.4731679786
C03589,CC(O)CC(=O)C(=O)O,52,5,CC(O)CC(=O)C(O)=O,0,-24.8330668241,-24.8330668241
C00835,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,90,9,C[C@H](O)C(=O)C1=NC2=C(NC1)N=C(N)NC2=O,0,-41.4891573216,-41.4891573216
C06144,C#CCC(=O)O,32,4,OC(=O)CC#C,0,-14.9279419689,-14.9279419689
C05585,O=Cc1cc(O)ccc1O,52,7,Oc1ccc(O)c(C=O)c1,0,-24.1734474738,-24.1734474738
C00576,C[N+](C)(C)CC=O,42,5,C[N+](C)(C)CC=O,1,-18.5177483381,-18.5177483381
C00557,O=C1CCCC1,34,5,O=C1CCCC1,0,-14.908132167,-14.908132167
C00253,O=C(O)c1cccnc1,46,6,OC(=O)c1ccc[nH+]c1,1,-21.3028211873,-21.3028211873
C06418,CC[C@@H](C)[C@@H](N)C(=O)O,54,6,CC[C@@H](C)[C@@H]([NH3+])C(O)=O,1,-24.344903187,-24.344903187
C02632,CC(C)C(=O)O,36,4,CC(C)C(O)=O,0,-16.5277618914,-16.5277618914
C17580,N[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,66,6,[NH3+][C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1,-30.9373853729,-30.9373853729
C00109,CCC(=O)C(=O)O,40,4,CCC(=O)C(O)=O,0,-19.0575816099,-19.0575816099
C06990,Clc1ccccc1,36,6,Clc1ccccc1,0,-15.3216474218,-15.3216474218
C00472,O=C1C=CC(=O)C=C1,40,6,O=C1C=CC(=O)C=C1,0,-18.3539640846,-18.3539640846
C06735,NCC=O,24,2,[NH3+]CC=O,1,-11.085937496,-11.085937496
C02457,OCCCO,32,3,OCCCO,0,-14.7739829824,-14.7739829824
C14418,O=[N+]([O-])c1cccc(O)c1,52,6,Oc1cccc(c1)[N+]([O-])=O,0,-24.372279674,-24.372279674
C06007,CC[C@@](C)(O)[C@@H](O)C(=O)O,60,6,CC[C@@](C)(O)[C@@H](O)C(O)=O,0,-28.0845145052,-28.0845145052
C01403,COc1ccccc1,42,7,COc1ccccc1,0,-18.2989531912,-18.2989531912
C00424,C[C@H](O)C=O,30,3,C[C@H](O)C=O,0,-14.0135512206,-14.0135512206
C01013,O=C(O)CCO,36,3,OCCC(O)=O,0,-17.3506954772,-17.3506954772
C02323,OCc1ccccc1O,48,7,OCc1ccccc1O,0,-21.615715196,-21.615715196
C00014,N,8,0,[NH4+],1,-3.6122499887,-3.6122499887
C00546,CC(=O)C=O,28,3,CC(=O)C=O,0,-13.2464275791,-13.2464275791
C11260,CC(N)(CO)CO,44,4,CC([NH3+])(CO)CO,1,-20.1516804999,-20.1516804999
C00159,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,72,6,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0,-34.6483594732,-34.6483594732
C00618,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO,76,6,OC[C@H](O)[C@@H](O)C(=O)[C@H](O)C(O)=O,0,-37.2242796124,-37.2242796124
C06601,Oc1ccc(O)c(Cl)c1,48,6,Oc1ccc(O)c(Cl)c1,0,-21.9543012227,-21.9543012227
C01488,O=C[C@H](O)C(O)(CO)CO,60,5,OCC(O)(CO)[C@@H](O)C=O,0,-28.8697512741,-28.8697512741
C05823,O=C(O)[C@@H](O)CS,42,3,O[C@@H](CS)C(O)=O,0,-19.7683265412,-19.7683265412
C00022,CC(=O)C(=O)O,34,3,CC(=O)C(O)=O,0,-16.5839676071,-16.5839676071
C15673,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,76,6,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,-37.2161259257,-37.2161259257
C06417,CC(C)[C@@H](N)C(=O)O,48,5,CC(C)[C@@H]([NH3+])C(O)=O,1,-21.8687893119,-21.8687893119
C04181,CC(C)(O)C(=O)C(=O)O,52,5,CC(C)(O)C(=O)C(O)=O,0,-24.8325191048,-24.8325191048
C06813,O=[N+]([O-])c1ccccc1,46,6,[O-][N+](=O)c1ccccc1,0,-21.0550817938,-21.0550817938
C01019,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,66,6,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,0,-31.3554365249,-31.3554365249
C01015,O=C(O)[C@@H]1C[C@H](O)CN1,52,5,O[C@@H]1C[NH2+][C@@H](C1)C(O)=O,1,-24.4129119326,-24.4129119326
C00067,C=O,12,1,C=O,0,-5.7544030567,-5.7544030567
C19322,Nc1ccc([N+](=O)[O-])cc1O,58,6,[NH3+]c1ccc(cc1O)[N+]([O-])=O,1,-27.2383905465,-27.2383905465
C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,76,6,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,-37.2135431565,-37.2135431565
C17211,CSCCCC(=O)C(=O)O,58,6,CSCCCC(=O)C(O)=O,0,-26.422886875,-26.422886875
C06032,C[C@H](C(=O)O)[C@@H](O)C(=O)O,58,5,C[C@@H]([C@@H](O)C(O)=O)C(O)=O,0,-28.1713724555,-28.1713724555
C00084,CC=O,18,2,CC=O,0,-8.237970989,-8.237970989
C05527,O=C(O)C(=O)CS(=O)O,52,3,OC(=O)C(=O)CS(O)=O,0,-25.5855428113,-25.5855428113
C16473,Oc1ccc(F)cc1O,48,6,Oc1ccc(F)cc1O,0,-23.1437372968,-23.1437372968
C00937,C[C@@H](O)C=O,30,3,C[C@@H](O)C=O,0,-14.012709084,-14.012709084
C01188,CC(CO)C(=O)O,42,4,CC(CO)C(O)=O,0,-19.8252009784,-19.8252009784
C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O,96,6,OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,-46.7105199273,-46.7105199273
C00407,CC[C@H](C)[C@H](N)C(=O)O,54,6,CC[C@H](C)[C@H]([NH3+])C(O)=O,1,-24.3448764307,-24.3448764307
C00854,OC1CCCCC1,42,6,OC1CCCCC1,0,-18.1427201307,-18.1427201307
C15488,O=CCF,24,2,FCC=O,0,-12.2077396149,-12.2077396149
C08286,N=C(N)NCC[C@@H](O)C[C@H](N)C(=O)O,82,7,NC(=[NH2+])NCC[C@@H](O)C[C@H]([NH3+])C(O)=O,2,-37.7540599576,-37.7540599576
C01719,OC[C@@H]1OC(O)(CO)[C@H](O)[C@H]1O,72,6,OC[C@@H]1OC(O)(CO)[C@H](O)[C@H]1O,0,-34.6462802385,-34.6462802385
C02666,COc1cc(/C=C/C=O)ccc1O,68,10,COc1cc(\\C=C\\C=O)ccc1O,0,-30.7939983441,-30.7939983441
C00682,O=C/C=C\C=C(\O)C(=O)O,54,6,OC(=O)C(\\O)=C/C=C\\C=O,0,-25.7564548382,-25.7564548382
C12849,O=S(=O)(O)c1ccc(O)cc1,60,6,Oc1ccc(cc1)S([O-])(=O)=O,-1,-27.8974982617,-27.8974982617
C04575,O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO,74,6,OC[C@H](O)[C@@H](O)C(=O)C(=O)C(O)=O,0,-36.4413391108,-36.4413391108
C02287,O=C(O)C(O)C(=O)O,46,3,OC(C(O)=O)C(O)=O,0,-23.2164694087,-23.2164694087
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,96,6,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,0,-46.753635651,-46.753635651
C00805,O=C(O)c1ccccc1O,52,7,OC(=O)c1ccccc1O,0,-24.1981355135,-24.1981355135
C02656,O=C(O)CCCCCC(=O)O,64,7,OC(=O)CCCCCC(O)=O,0,-29.8154725532,-29.8154725532
C01012,CC1(C)COC(=O)[C@@H]1O,52,6,CC1(C)COC(=O)[C@@H]1O,0,-23.9956734841,-23.9956734841
C00124,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,72,6,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,0,-34.6450294325,-34.6450294325
C03232,O=C(O)C(=O)COP(=O)(O)O,64,3,OC(=O)C(=O)COP(O)(O)=O,0,-31.9401149712,-31.9401149712
C10920,OCC1CO1,30,3,OCC1CO1,0,-13.9644151784,-13.9644151784
C02236,O=C(O)c1ccc(S(=O)(=O)O)cc1,70,7,OC(=O)c1ccc(cc1)S([O-])(=O)=O,-1,-32.9468865345,-32.9468865345
C03383,O=C1O[C@@H]([C@H](O)CO)[C@H](O)[C@H]1O,70,6,OC[C@@H](O)[C@@H]1OC(=O)[C@H](O)[C@H]1O,0,-33.9024579443,-33.9024579443
C17577,O=C1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,70,6,O[C@@H]1[C@H](O)[C@@H](O)C(=O)[C@@H](O)[C@@H]1O,0,-33.8848767309,-33.8848767309
C00222,O=CCC(=O)O,34,3,OC(=O)CC=O,0,-16.5829654791,-16.5829654791
C05682,O=C(O)CP(=O)(O)O,48,2,OC(=O)CP(O)(O)=O,0,-23.6363053143,-23.6363053143
C04670,O=C1C[C@@H](C(=O)O)CC[C@@H]1O,62,7,O[C@H]1CC[C@@H](CC1=O)C(O)=O,0,-29.0279900578,-29.0279900578
C02782,O=C(O)C[C@@H](O)[C@H](O)[C@H](O)CO,72,6,OC[C@@H](O)[C@@H](O)[C@H](O)CC(O)=O,0,-34.6823978774,-34.6823978774
C02928,O=C(O)C(=O)[C@@H](O)[C@H](O)CO,64,5,OC[C@@H](O)[C@H](O)C(=O)C(O)=O,0,-31.4419006374,-31.4419006374
C01088,CC(C)(C(=O)O)[C@@H](O)C(=O)O,64,6,CC(C)([C@@H](O)C(O)=O)C(O)=O,0,-30.649778397,-30.649778397
C00632,Nc1c(O)cccc1C(=O)O,58,7,[NH3+]c1c(O)cccc1C(O)=O,1,-27.0961209167,-27.0961209167
C06057,NC[C@H](O)CO,38,3,[NH3+]C[C@H](O)CO,1,-17.6632880873,-17.6632880873
C00197,O=C(O)[C@H](O)COP(=O)(O)O,66,3,O[C@H](COP(O)(O)=O)C(O)=O,0,-32.7152411668,-32.7152411668
C02522,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,66,6,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,-31.3488707787,-31.3488707787
C12347,O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](O)C[C@@H]1O,126,5,O[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1,0,-61.6944311802,-61.6944311802
C02994,O=C1O[C@@H](CO)[C@@H](O)[C@@H]1O,58,5,OC[C@@H]1OC(=O)[C@@H](O)[C@@H]1O,0,-28.1256871394,-28.1256871394
C01680,C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,72,6,C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O,0,-34.6846514257,-34.6846514257
C05406,O=C(CO)CC(=O)C(=O)O,56,5,OCC(=O)CC(=O)C(O)=O,0,-27.3702661389,-27.3702661389
C02647,N=C(N)NCCCC=O,52,5,NC(=[NH2+])NCCCC=O,1,-23.37140642,-23.37140642
C06030,C[C@H](C(=O)O)C(=O)C(=O)O,56,5,C[C@H](C(O)=O)C(=O)C(O)=O,0,-27.4030657571,-27.4030657571
C09822,O=C(O)C1CCCCC1,52,7,OC(=O)C1CCCCC1,0,-23.1899646854,-23.1899646854
C14858,O=CC(Cl)Cl,30,2,ClC(Cl)C=O,0,-13.8028062612,-13.8028062612
C00108,Nc1ccccc1C(=O)O,52,7,[NH3+]c1ccccc1C(O)=O,1,-23.7717793127,-23.7717793127
C03134,CN(C)C=O,30,3,CN(C)C=O,0,-13.4814869521,-13.4814869521
C01179,O=C(O)C(=O)Cc1ccc(O)cc1,68,9,OC(=O)C(=O)Cc1ccc(O)cc1,0,-31.6738316418,-31.6738316418
C04324,O=C(O)/C=C(\C=C(\O)C(=O)O)C(=O)O,76,7,OC(=O)\\C=C(/C=C(/O)C(O)=O)\\C(O)=O,0,-37.4457216329,-37.4457216329
C11505,C=CC,18,3,CC=C,0,-7.3809360207,-7.3809360207
C05936,CC(=O)NCCCC=O,52,6,CC(=O)NCCCC=O,0,-23.4555972653,-23.4555972653
C00741,CC(=O)C(C)=O,34,4,CC(=O)C(C)=O,0,-15.7313754975,-15.7313754975
C02170,CC(C(=O)O)C(=O)O,46,4,CC(C(O)=O)C(O)=O,0,-22.3980685812,-22.3980685812
C03153,CNC(=O)CC[C@H](N)C(=O)O,64,6,CNC(=O)CC[C@H]([NH3+])C(O)=O,1,-29.6659118963,-29.6659118963
C06146,C#CCCO,28,4,OCCC#C,0,-12.3541871968,-12.3541871968
C16588,O=C(O)CCCCC(=O)C(=O)O,68,7,OC(=O)CCCCC(=O)C(O)=O,0,-32.3454094122,-32.3454094122
C00199,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,84,5,OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,-40.9375489415,-40.9375489415
C00661,O=CC(O)COP(=O)(O)O,60,3,OC(COP(O)(O)=O)C=O,0,-29.3718591133,-29.3718591133
C05382,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,108,7,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,0,-52.4918101301,-52.4918101301
C00672,O=P(O)(O)O[C@@H]1C[C@H](O)[C@@H](CO)O1,78,5,OC[C@H]1O[C@@H](C[C@@H]1O)OP(O)(O)=O,0,-37.6390547621,-37.6390547621
C17467,OCc1ccc(O)cc1,48,7,OCc1ccc(O)cc1,0,-21.6190001948,-21.6190001948
C05123,O=S(=O)(O)CCO,44,2,OCCS([O-])(=O)=O,-1,-21.0520954878,-21.0520954878
C11272,Fc1ccccc1,36,6,Fc1ccccc1,0,-16.5203379757,-16.5203379757
C00134,NCCCCN,38,4,[NH3+]CCCC[NH3+],2,-16.2951584287,-16.2951584287
