KEGG,energy_min,energy_Ha,conf_num,compute_time,energy_solv_Ha
C00001,-76.270483477092,-76.270483477092,1,263.176,-76.26905809
C00014,-56.907408634069,-56.907408634069,1,239.892,-56.90490843
C00022,-341.696354548229,-341.696354548229,1,1131.316,-341.70756974
C00025,-550.952199391833,-550.9517326930181,6,52846.511999999995,-550.9820289882135
C00026,-569.116707490652,-569.1166115877348,5,32484.552,-569.1410118609782
C00031,-685.743815096503,-685.743815096503,1,3930.804,-685.80911499
C00033,-228.614617184064,-228.614617184064,1,851.64,-228.62441582
C00036,-529.882238698277,-529.8821465339062,3,11401.815999999999,-529.9024827299297
C00037,-284.303113027975,-284.303113027975,1,1953.036,-284.31780231
C00042,-456.035313419283,-456.0353036069376,3,7162.911999999999,-456.05680254225103
C00048,-302.449516373134,-302.449516373134,1,891.828,-302.4602619
C00049,-511.714404273528,-511.71438410985184,3,15990.128,-511.7393893620027
C00058,-189.369901702713,-189.369901702713,1,479.688,-189.37829562
C00064,-531.125048898441,-531.1248820248263,4,39995.128000000004,-531.1528986209679
C00065,-398.578170843667,-398.578170843667,1,3228.788,-398.60090295
C00067,-114.258100511909,-114.258100511909,1,380.016,-114.26247528
C00079,-554.075207308982,-554.074538243821,7,60983.696,-554.0962684812122
C00082,-629.152124839567,-629.1516084263407,6,55998.443999999996,-629.1769875208984
C00084,-153.502255696778,-153.502255696778,1,3117.72,-153.50813991
C00085,-1252.637341358943,-1252.6373340348168,4,164650.236,-1252.719303856735
C00092,-1252.638834298028,-1252.6388221187167,3,51039.028000000006,-1252.7220415664272
C00093,-910.909278228457,-910.9090992861773,3,14843.612000000001,-910.9556841099126
C00095,-685.743060399781,-685.742797006916,2,10025.2,-685.8041029971315
C00099,-323.538019369256,-323.538019369256,1,2189.804,-323.55571883
C00109,-380.922970329895,-380.922970329895,1,1855.52,-380.93724475
C00111,-909.746721930571,-909.7462796706851,5,39396.648,-909.7823245751844
C00116,-344.060374766484,-344.0601891189438,3,3565.5960000000005,-344.0933839384626
C00117,-1138.341332228094,-1138.3411202302957,4,157801.668,-1138.4080845327958
C00118,-909.741332788773,-909.740958755524,5,41433.88,-909.782162742684
C00123,-441.219501105534,-441.2191965092241,8,41899.932,-441.24301206625455
C00132,-115.475913454653,-115.475913454653,1,473.276,-115.48469029
C00149,-531.093623765696,-531.093623765696,1,7710.776,-531.1218882
C00160,-303.667018989682,-303.667018989682,1,878.232,-303.6847264
C00164,-380.933357132286,-380.933357132286,1,3493.964,-380.94732866
C00166,-572.236475869636,-572.2364367299397,3,18905.628,-572.2540823238048
C00168,-416.747874192055,-416.747874192055,1,4959.832,-416.76739193
C00181,-571.452841335025,-571.452841335025,1,2645.292,-571.50812668
C00184,-342.857339192892,-342.857339192892,1,4529.344,-342.88046092
C00186,-342.905373412676,-342.905373412676,1,2168.632,-342.92653106
C00197,-984.851028823037,-984.8507843994028,4,17669.879999999997,-984.8925084338429
C00204,-684.567863401844,-684.567384358273,9,67765.784,-684.6129929506617
C00207,-192.746851412677,-192.746851412677,1,574.404,-192.7532447
C00209,-377.559894243935,-377.559894243935,1,689.52,-377.5732181
C00217,-550.954116983461,-550.9538654053083,5,32799.972,-550.9841677134567
C00222,-341.689060790337,-341.689060790337,1,3083.24,-341.70500861
C00232,-380.922520532546,-380.922520532546,1,5976.692,-380.94017363
C00233,-459.381870600388,-459.3815836863458,5,13692.651999999998,-459.4021819622277
C00246,-307.070780361125,-307.07059561600806,3,4595.412,-307.0864925549283
C00247,-685.746572143382,-685.7463254772453,2,18684.024,-685.8114970964533
C00256,-342.905341459423,-342.905341459423,1,4370.512,-342.92651346
C00257,-760.836335881971,-760.835830177579,14,156079.452,-760.9058848271648
C00258,-417.96046062414,-417.96046062414,1,2192.5,-417.99075524
C00261,-344.822059710284,-344.822059710284,1,1436.892,-344.83205419
C00263,-437.816532551372,-437.81653179634276,2,6421.72,-437.84551283050814
C00273,-684.532408328815,-684.5321483555557,8,81576.62,-684.5800039282143
C00280,-888.264110743737,-888.264110743737,1,19852.788,-888.30484279
C00282,-1.168228029613,-1.168228029613,1,177.852,-1.16570184
C00296,-723.81476973918,-723.81476973918,1,8851.844,-723.86633968
C00309,-571.447731481936,-571.4475137637654,2,7557.772,-571.4989728881313
C00312,-571.44876142447,-571.4485071405388,2,6118.404,-571.4993543164433
C00314,-590.621849936926,-590.621849936926,1,4542.124,-590.65180938
C00318,-555.483564884234,-555.4828382551533,20,209264.75199999998,-555.5259559799944
C00322,-608.344608801298,-608.3444671542513,5,33240.424,-608.3729858434491
C00331,-703.536662007866,-703.5366423630277,2,22287.852,-703.5567586911385
C00334,-362.769819062118,-362.76960029232197,2,6319.156,-362.7901736796824
C00345,-1327.73071849827,-1327.7302255523239,18,398191.38399999996,-1327.80861322044
C00349,-380.918988955097,-380.91875901999884,2,7469.3679999999995,-380.9360032542382
C00379,-572.643095467603,-572.6426632255517,7,40114.344000000005,-572.7030730162975
C00392,-686.93681901465,-686.9366854594533,15,163931.37199999997,-687.0038526287381
C00414,-309.23279876474,-309.23279876474,1,1486.64,-309.24975991
C00424,-267.792209137848,-267.792209137848,1,2405.104,-267.80813904
C00441,-436.612346805699,-436.6122761353165,3,23303.7,-436.63773559199944
C00468,-847.833531228422,-847.833531228422,1,13083.312,-847.86978076
C00469,-154.709377796864,-154.709377796864,1,481.748,-154.7208053
C00474,-572.640964687114,-572.640556147218,7,68621.46399999999,-572.6965925023065
C00493,-647.52105491813,-647.52105491813,1,4198.436,-647.56243654
C00497,-531.09778708733,-531.0977044975656,4,22102.408,-531.1283774909709
C00522,-535.651877761057,-535.6516651938945,10,70151.824,-535.6912739523132
C00534,-571.270292636839,-571.270292636839,1,5655.9,-571.30023061
C00535,-889.45764917715,-889.45764917715,1,27085.332,-889.50591135
C00552,-606.155783023067,-606.1556832585206,3,19385.164,-606.1927787329462
C00556,-346.021268369964,-346.021268369964,1,3921.704,-346.0370948
C00577,-342.846898860078,-342.846898860078,1,1478.512,-342.87173151
C00583,-269.002293038578,-269.00203943467125,2,1744.396,-269.02392915087023
C00590,-612.606008985468,-612.606008985468,1,22995.408,-612.63794865
C00644,-1253.827090747089,-1253.826353247919,20,393775.4679999999,-1253.9154743417598
C00673,-1063.282897329695,-1063.2827709499704,3,59788.72000000001,-1063.344700031376
C00756,-390.076885401446,-390.0760807553532,19,66027.072,-390.10671063166143
C00794,-686.933899140118,-686.9335313855158,13,130911.18400000001,-687.0052337581675
C00795,-685.746475418354,-685.746452696007,2,10083.748,-685.8114443225555
C00810,-307.037310058844,-307.037310058844,1,2299.716,-307.0535576
C00835,-847.26103719361,-847.2608346325176,2,41325.744000000006,-847.2944048787405
C00854,-310.431221185377,-310.431221185377,1,2289.492,-310.45531226
C00940,-549.283775514115,-549.2835816739616,2,13440.948,-549.3081155281386
C00944,-722.619448280503,-722.619448280503,1,8158.36,-722.66417653
C00951,-849.026636551092,-849.026636551092,1,13921.872,-849.07044832
C00956,-590.182267937935,-590.1819934693393,8,82945.9,-590.2147355252353
C00966,-534.443062845316,-534.4426197739331,4,21847.092,-534.4685138101502
C00986,-230.2746030007,-230.27402261270922,7,7987.724,-230.28993071348427
C00989,-382.130672300911,-382.1303765079966,5,10416.964,-382.15530420003404
C01005,-965.471409617347,-965.4714000070048,3,22569.131999999998,-965.5079381341216
C01013,-342.899405265164,-342.899405265164,1,3815.408,-342.92186682
C01087,-570.323556466506,-570.3231890724769,6,28390.804,-570.3588506226284
C01089,-382.136687350007,-382.13648284230067,2,4856.46,-382.1596154066213
C01096,-1253.826938648742,-1253.8264034846002,18,531655.4959999999,-1253.9141181117377
C01100,-1041.535400142484,-1041.535263065072,10,107610.924,-1041.5784034183441
C01127,-644.176006037697,-644.1756562848817,3,22164.392,-644.2085683307276
C01146,-416.748272904207,-416.748272904207,1,2675.04,-416.77126398
C01179,-647.312617102395,-647.3125143583236,3,14204.588,-647.3333340531855
C01186,-496.924199683943,-496.92377311669406,10,117089.208,-496.9546540080172
C01188,-382.130927348768,-382.13074728787495,2,4145.008,-382.1541422739986
C01267,-1059.698397623254,-1059.6978443084947,9,228316.752,-1059.7335784213294
C01412,-231.959190890621,-231.959190890621,1,1272.264,-231.97149355
C01438,-40.427320041862,-40.427320041862,1,201.42,-40.42506587
C01507,-686.934029164221,-686.9334713150768,12,96663.492,-687.0018568654323
C01545,-388.871826351246,-388.87112584089124,13,72201.24,-388.89588948254016
C01570,-441.221668351374,-441.22110403479905,8,36413.516,-441.2449109440353
C01620,-532.249263037808,-532.2490080131557,3,9937.720000000001,-532.2893595854066
C01697,-686.933437880984,-686.9328056354234,15,207694.264,-687.0053321308054
C01845,-193.944593158733,-193.944593158733,1,937.076,-193.95766143
C01904,-572.644635722204,-572.6443550530937,9,59198.700000000004,-572.7000500131884
C02043,-704.742831500191,-704.7427838121563,2,29596.908,-704.7724370616794
C02636,-554.277608486867,-554.2771775518673,11,187404.44799999997,-554.3126545032374
C02666,-611.411032785985,-611.411032785985,1,5413.776,-611.4376725
C02780,-758.420434667112,-758.4200772052892,6,63018.78,-758.4670879782495
C02782,-685.773210016942,-685.7728945626878,11,82045.328,-685.8284861486408
C02953,-848.914926939058,-848.9146631992803,2,24318.04,-848.9595057289177
C03044,-308.237488678942,-308.23724012965187,3,5242.064,-308.2628839835741
C03067,-419.897729973463,-419.897729973463,1,1476.692,-419.91080574
C03167,-720.37026720915,-720.3697079142474,4,14608.304,-720.3884408006321
C03196,-570.321537671378,-570.3210321492429,5,32508.303999999996,-570.3540421143505
C03232,-983.637183981895,-983.637183981895,1,15747.144,-983.67270083
C03341,-475.857485236573,-475.85724272791646,3,43496.7,-475.88429610948697
C03351,-421.097609619699,-421.097609619699,1,3882.72,-421.1165583
C03459,-604.93770450505,-604.9376213376919,2,17024.868000000002,-604.9644182204756
C03557,-702.219110312971,-702.2185520392949,8,15318.688,-702.2396531763719
C03656,-515.09145878517,-515.0911680585014,5,29704.008,-515.1185198847813
C03926,-684.572212649618,-684.5719095962394,5,58833.547999999995,-684.619524189472
C03943,-457.685191675116,-457.6849225340539,6,27597.04,-457.7112156126788
C04421,-1064.414704516319,-1064.414487806485,9,458892.2,-1064.4726072585677
C04462,-1082.577827315064,-1082.577214010666,16,584336.444,-1082.6333524229317
C05665,-248.42644233985,-248.42644233985,1,1364.936,-248.4398071
C05984,-382.133647102628,-382.1333230187198,3,6879.704,-382.15805793367457
C06019,-1252.624091240034,-1252.6235777310515,15,392045.42399999994,-1252.6996649728974
C06142,-233.164875374261,-233.164708139096,2,1597.204,-233.18280693037377
C06473,-759.626975203948,-759.6267454957699,12,237150.62,-759.6799009501829
C08492,-310.388260667263,-310.38794067941376,4,11483.792000000001,-310.40832985366353
C15025,-555.484839743926,-555.4842706709962,20,247811.204,-555.528477891072
C15673,-759.628868521927,-759.6287927249739,11,179741.68000000002,-759.6857128885023
C16310,-309.182836619157,-309.182836619157,1,7468.856,-309.19698114
C19838,-586.782239222283,-586.7822018906646,3,20184.684,-586.8153260534295
